Compilation;Date;Value;plotParameter
"CAPP 2012 - SCO + Bitumen";1975-04-08;46700.776779155;2
"CAPP 2012 - SCO + Bitumen";1975-04-30;46677.926199973;2
"CAPP 2012 - SCO + Bitumen";1975-05-22;46655.075620791;2
"CAPP 2012 - SCO + Bitumen";1975-06-13;46632.225041609;2
"CAPP 2012 - SCO + Bitumen";1975-07-05;46716.169935655;2
"CAPP 2012 - SCO + Bitumen";1975-07-27;47280.694459222;2
"CAPP 2012 - SCO + Bitumen";1975-08-18;47845.218982789;2
"CAPP 2012 - SCO + Bitumen";1975-09-09;48409.743506356;2
"CAPP 2012 - SCO + Bitumen";1975-10-01;48974.268029923;2
"CAPP 2012 - SCO + Bitumen";1975-10-23;49538.792553491;2
"CAPP 2012 - SCO + Bitumen";1975-11-14;50103.317077058;2
"CAPP 2012 - SCO + Bitumen";1975-12-06;50667.841600625;2
"CAPP 2012 - SCO + Bitumen";1975-12-28;51232.366124192;2
"CAPP 2012 - SCO + Bitumen";1976-01-19;51796.890647759;2
"CAPP 2012 - SCO + Bitumen";1976-02-10;52361.415171327;2
"CAPP 2012 - SCO + Bitumen";1976-03-03;52925.939694894;2
"CAPP 2012 - SCO + Bitumen";1976-03-25;53490.464218461;2
"CAPP 2012 - SCO + Bitumen";1976-04-16;54054.988742028;2
"CAPP 2012 - SCO + Bitumen";1976-05-08;54619.513265595;2
"CAPP 2012 - SCO + Bitumen";1976-05-30;55184.037789162;2
"CAPP 2012 - SCO + Bitumen";1976-06-21;55748.56231273;2
"CAPP 2012 - SCO + Bitumen";1976-07-13;55935.479544779;2
"CAPP 2012 - SCO + Bitumen";1976-08-04;55807.724033898;2
"CAPP 2012 - SCO + Bitumen";1976-08-26;55679.968523018;2
"CAPP 2012 - SCO + Bitumen";1976-09-17;55552.213012137;2
"CAPP 2012 - SCO + Bitumen";1976-10-09;55424.457501256;2
"CAPP 2012 - SCO + Bitumen";1976-10-31;55296.701990376;2
"CAPP 2012 - SCO + Bitumen";1976-11-22;55168.946479495;2
"CAPP 2012 - SCO + Bitumen";1976-12-14;55041.190968614;2
"CAPP 2012 - SCO + Bitumen";1977-01-05;54913.435457733;2
"CAPP 2012 - SCO + Bitumen";1977-01-27;54785.679946853;2
"CAPP 2012 - SCO + Bitumen";1977-02-18;54657.924435972;2
"CAPP 2012 - SCO + Bitumen";1977-03-12;54530.168925091;2
"CAPP 2012 - SCO + Bitumen";1977-04-03;54402.41341421;2
"CAPP 2012 - SCO + Bitumen";1977-04-25;54274.65790333;2
"CAPP 2012 - SCO + Bitumen";1977-05-17;54146.902392449;2
"CAPP 2012 - SCO + Bitumen";1977-06-08;54019.146881568;2
"CAPP 2012 - SCO + Bitumen";1977-06-30;53891.391370687;2
"CAPP 2012 - SCO + Bitumen";1977-07-22;54468.557342793;2
"CAPP 2012 - SCO + Bitumen";1977-08-13;55079.291004564;2
"CAPP 2012 - SCO + Bitumen";1977-09-04;55690.024666335;2
"CAPP 2012 - SCO + Bitumen";1977-09-26;56300.758328106;2
"CAPP 2012 - SCO + Bitumen";1977-10-18;56911.491989877;2
"CAPP 2012 - SCO + Bitumen";1977-11-09;57522.225651648;2
"CAPP 2012 - SCO + Bitumen";1977-12-01;58132.959313419;2
"CAPP 2012 - SCO + Bitumen";1977-12-23;58743.692975192;2
"CAPP 2012 - SCO + Bitumen";1978-01-14;59354.426636963;2
